i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.772301137295084,1,10,1,0.5,0.13003022968769073,0.618335039805464,0.24071284013296082,0.5383828196654104,-0.5566401370537549,0.39680373282485437,-0.13510646499991952,0.02218178155562509,0.5819849766885882,0.08599237484256053,0.27176512215293597,0.3800357872674762,1.0452280520459283,0.7591106918464867,1.4175218375279883,0.7269781301665144,0.2342228266162916
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.772301137295084,1,10,1,0.5,0.14230644702911377,0.5857932389359698,0.23409337148506196,0.29477234986497164,-0.5007200539807928,0.06121444463494939,0.13988308488642645,0.019996660244562873,0.2573722091870439,0.3113742509540048,0.2691939455678438,0.3587759418494397,1.0364127636250118,0.42015787209023864,1.2280096930717628,0.7948139339245851,0.11220747058478878
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.772301137295084,1,10,1,0.5,0.151580348610878,0.4644299199000093,0.24796782401209064,0.2953324143517529,-0.6133141327145349,-0.08538170596324894,0.36713695238318966,0.17561073568047947,0.11981343986545048,0.5181456800771512,0.27070675369138886,0.3425251397200973,1.0653136378192183,0.2221715193204376,1.1657555673344537,0.8077444649823143,0.3033410952132419
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.772301137295084,1,10,1,0.5,0.15437565743923187,0.48256598151217595,0.23160903325283255,0.2705072143690257,-0.5905988538586486,-0.032115600927560474,0.43325214022709985,0.17578916737212866,0.12626151235386757,0.512716348631799,0.2769703598715758,0.34274128024550493,1.072116318846207,0.20466899745346515,1.1440805577540076,0.7636392618100768,0.3183459814769691
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.772301137295084,1,10,1,0.5,0.15953615307807922,0.48224471389730433,0.26315145662283546,0.5811458339958318,-0.5897778337124394,0.13150744217385532,0.6041152473548995,0.22158233929853363,0.14955776168256338,0.5644461457562185,0.2769043783029336,0.3538667341397907,1.0659651147186113,0.18409687901843766,1.187066536889184,0.7589789865627218,0.38793566763585163
