i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14217181503772736,-0.5308160200227158,0.25781215780213124,0.4952826022555953,-0.1958664074004389,0.1223344985282697,-0.026475686820239885,-0.24685309838063413,0.38269409284644396,0.22371356699901984,0.974205746204298,0.9594274009273843,1.026459399491351,0.5523497079115284,1.27551436562022,0.7435718239264211,0.08817742231828775
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14418919384479523,-0.40873803719084206,0.2556542739007829,0.2765864812562008,-0.2581421456580356,0.09242478457984436,-0.15009977761897242,-0.16780046876408197,0.3912910783391758,0.2709514664807941,0.9715043057729044,0.9603860425942007,1.0345933906937699,0.5492807219954798,1.2722625617533645,0.7659862221126134,0.08592373886311841
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.1478126049041748,-0.3706816331733162,0.23857979730914983,0.49204593995525975,-0.2307729193365971,0.008028452027290555,-0.35556912344162567,-0.1832910792819623,0.3405233878696668,0.31182398822844004,0.971174466845784,0.961643496672134,1.0140938102260537,0.509553175455581,1.2163381732603646,0.7870317836995055,0.07952063942998723
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.1529293805360794,-0.3186986072053297,0.27024884554152323,0.5248794653394873,-0.32543353885224857,-0.1731186779986499,-0.20651871633693897,-0.0048171526362896745,0.2365131409985421,0.4660960961738491,0.9710037442392002,0.9608751388754017,1.0305053219268998,0.40814778285936604,1.1445502911992418,0.7911955718180657,0.1251206416624847
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14455237984657288,-0.3184405824257639,0.2436162660056987,0.40788940559080145,-0.5629387002120658,-0.13486833357323685,-0.1856688739832775,0.09528548768899109,0.2138863612132181,0.3712513309744214,0.9717845659288847,0.9609816592236654,1.0279950773900395,0.4273046563876216,1.153415190838302,0.8456965545599977,0.11881452136529988
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14638863503932953,-0.024902886707546302,0.25377588497959735,0.3715461785430948,-0.6545387714812814,-0.24075660254954095,-0.18698904723425452,0.22902111476641906,0.17460490283577057,0.4612759057998591,0.9662043741565914,0.9651929507664375,1.0498749694992713,0.3460746839680455,1.1257112110297551,0.8445594142686788,0.17798345379768088
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14365147054195404,0.1586852620477426,0.23661357103419725,0.2712249073737672,-0.6266834473889459,-0.18015184205153084,-0.174288606126738,0.18646262717775594,0.19027313705874827,0.41296063852336007,0.9630567253346752,0.9699136941034328,1.0430799914559232,0.38965243918221326,1.1520627890832842,0.8260535785921571,0.13484068243623035
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.13846805691719055,0.33975711873348835,0.23026068717950177,0.4182529521534631,-0.5626608082267538,0.02421154247035164,0.07616453975742796,0.10518502360515494,0.29309637351167517,0.2709870095154073,0.9610712239947748,0.971877005095931,1.0426199672095326,0.5095014421122993,1.2579872177575067,0.799362598872494,0.10560964481458389
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.13967019319534302,0.37924265654699535,0.2523000869687423,0.445913723939046,-0.4640751478427042,-0.028703349466870143,0.028130877558455482,-0.04096650795122008,0.2583177184965827,0.29809682149332495,0.9607969728699433,0.9710381807301302,1.044204558703632,0.48242604528250954,1.2108966755293358,0.7957549435286239,0.0843251179115556
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14032919704914093,0.3867921646164066,0.24356369695978783,0.4241862376437362,-0.6050301708003955,0.0048647019574387445,0.056533829650213835,0.12711361005016564,0.275065187874038,0.2797920043580981,0.9617744301012133,0.9715740189071611,1.0377493967356155,0.5009455977293534,1.242257129235697,0.7994602610691761,0.09862316091787866
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14121510088443756,0.4285777344303629,0.2668012219140827,0.3280088462644987,-0.5642086262400425,0.0050689546527106204,0.06246948485766403,0.093704280869848,0.2756293474302712,0.2695750420315245,0.9605649635425185,0.9724227005787218,1.0142918497132924,0.49475651447977775,1.222559283807569,0.789760872828228,0.09147886494160128
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14585818350315094,0.39045002573838083,0.22901333782067748,0.31270486323748,-0.5164183405148661,-0.08259568354236567,0.04003430648958542,0.11316594404915431,0.250954674196008,0.35760243805063835,0.9618259159639477,0.972976520222919,1.0197180230786766,0.4446970653113573,1.1847144674236103,0.8147744431996032,0.10911715901464197
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.13545925915241241,0.5752923120026275,0.2155697187584729,0.3342889188124939,-0.47347489746683935,0.02223528838304131,0.20401859237270348,-0.0490472494448,0.2853021073271843,0.2539708103698494,0.9599524106979744,0.9759312811685892,1.0626497567994257,0.518444298314526,1.2550232675060415,0.8019480995315578,0.07991425775398968
14000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.1416262537240982,0.4305474485621756,0.2501801520721611,0.30743321411226443,-0.5001416012916442,-0.001135641260661186,0.3665412969560302,0.08497272691555528,0.300710171272303,0.3221707469506742,0.9593487529128532,0.97283957347676,1.055636529256912,0.4778882257991574,1.2330849366989132,0.7986049843216199,0.10089530923932875
15000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14017656445503235,0.5061374956210265,0.23607635576535582,0.16448031255054055,-0.46185294566315327,0.0631193469613001,0.25908016390344346,0.013391288024962072,0.3228496806247856,0.26082786067005087,0.9593527008817864,0.9739715732045507,1.0327774637785934,0.5289786270620587,1.2888199871729207,0.7831267893499718,0.08735245032727709
16000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.13548383116722107,0.46015427844041473,0.221882571207558,0.21083311369696164,-0.35545106755410844,0.1141965260210267,0.19482906759569535,-0.21599108964095665,0.3295288949536608,0.2053189302754704,0.960097549695009,0.973598556729008,1.0414694266643862,0.5385065957235587,1.3022829731592223,0.7771044394485028,0.06848677649414019
17000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.1428765058517456,0.5140981452777729,0.26276436758814786,0.35372952208409486,-0.3582562754546566,-0.04299161728288547,0.23821193738636465,-0.07679487127163173,0.28248932844007424,0.33859834036080644,0.958259685395219,0.9727547311078832,1.046994279059444,0.47667801047667974,1.2308780304802152,0.7985543032950851,0.08812787243070881
18000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.1412789523601532,0.4328162314673751,0.23631757730230107,0.3659277250701202,-0.39109913401757984,0.04835462497338139,0.3101771098624528,-0.021819954015530788,0.3439410663637528,0.2879353018613384,0.9606786639369356,0.9735625611848919,1.057713924746859,0.514370154338361,1.2808878065143532,0.7856330898840935,0.09021760743385837
19000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.13630299270153046,0.4790719090690445,0.2545778424039852,0.32023327018549236,-0.5004934105555344,0.0708841753393033,0.31322815565961765,-0.021373959089340838,0.2946261045245013,0.2322194010693583,0.9588089274964247,0.9736845201237672,1.031226846014411,0.5315040310952706,1.2571278180476533,0.7739018812251497,0.09353881243453957
20000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.14046944677829742,0.47177578920084556,0.24630979749493517,0.3968556555614089,-0.5646000496201643,0.029011413182937006,0.2831619277754191,0.05585280615806267,0.2804479440603699,0.27108162120444745,0.9591492228181682,0.9726884315850068,1.0455314812551126,0.5008990702433338,1.1990715241045111,0.7916012543487388,0.08355966852294962
