i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.1526731699705124,-0.587074379928837,0.24552781094170115,0.3924396136817679,-0.5640055565313088,0.10553184568783257,0.5246449309950957,0.1476823121531185,0.22685441544598414,0.4599515957531855,0.5218802717690931,0.4252889405156102,1.05209072820486,0.2946201080542878,1.2063571300051812,0.7816195309933092,0.2319214878328913
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.15364669263362885,-0.5462198341551298,0.2610766698031858,0.1718078200190323,-0.666356879599898,-0.006435613429316659,0.5240186989904613,0.27640916992823805,0.156402890878496,0.5247039932240943,0.5161407932698143,0.4206157481566421,1.070885786759061,0.23059240345888668,1.139732569428857,0.7746807082779056,0.30459753585202665
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.1630019247531891,-0.49868892627045086,0.2378403475263447,-0.20863833802158444,-0.6666842146064115,-0.25948391226764295,0.5117111909687806,0.4557747752314733,0.05991841447365628,0.7382902980816721,0.514176719382611,0.43270148770749006,1.0792007452100236,0.10864971229779372,1.0328008231060641,0.7930392576987294,0.4832816125809055
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16659153997898102,-0.5084713620840275,0.23322289290335227,-0.6439213871537667,-0.7065527812727567,-0.25019620204718374,0.549827011363965,0.6929781767839577,0.0490051154592394,0.8156372122632662,0.5361855436071697,0.4213649099730428,1.095455927281718,0.05187663719388272,1.0573985221695212,0.7783795222595752,0.6488084142032197
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16732880473136902,-0.4280856705629243,0.22403209944992603,-0.6163781652971418,-0.5547659072111439,-0.40824278839912387,0.47820470164581375,0.589272427130226,0.055590877616558,0.8023196874648227,0.5107137982641649,0.43487599985534703,1.0736087008896957,0.0640636628705689,1.0125585334826845,0.7722711204377205,0.5967886306631776
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16240569949150085,-0.33542705847044535,0.23581880704213548,-0.5356249393173361,-0.5953869000695245,-0.4583166020860413,0.4500979887997816,0.4757134201781743,0.03908137834491732,0.7921073411666635,0.49595792636147407,0.43773922087128203,1.0941013942167426,0.07542396692570107,1.0299126906079814,0.7942435824121997,0.5701621320877175
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16525143384933472,-0.2607015253871047,0.23130796216129768,-0.6114490620834776,-0.6222416914862618,-0.5128746284880926,0.583658644098254,0.5804202188856379,0.03221051115223505,0.8406636102393569,0.4931596973692002,0.45071137395349165,1.1024619667318007,0.05293171415544017,1.0271535708118729,0.7925947131267459,0.6176028740033578
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16518524289131165,-0.346590987783418,0.2682975718812889,-0.6687583331112809,-0.6442944112717666,-0.4968403239770176,0.403942127247575,0.6318884067069082,0.04082830434984482,0.8016910042582069,0.4873696859324473,0.4355132582429739,1.102154740876271,0.048165816981220855,0.9963187142575058,0.7839855282299902,0.6211895823941221
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.1661560982465744,-0.10955056261313917,0.2692608865828715,-0.6446696303269989,-0.6848477991313783,-0.3620697765614571,0.5685925885510734,0.595966288824943,0.05265119874688823,0.8012797871566677,0.4780987049141702,0.45406625857531113,1.073821846435207,0.0695630208693323,1.0118246648872016,0.7542358868885707,0.5848878366984147
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16629523038864136,-0.12254420044886087,0.277022763633766,-0.5809562182905584,-0.617348958604578,-0.36415111451357574,0.5410606714239033,0.5642688802983408,0.04000109163837996,0.7968547352886123,0.4677836303553211,0.4505581142001023,1.084418975459612,0.06989464248743545,1.0302668612139174,0.786548226028452,0.6051982074818106
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16273249685764313,0.015316501577551688,0.2686536002959777,-0.5743300458334063,-0.7200768654562687,-0.5130610800272424,0.4398962058318368,0.6278874485439351,0.03350763015398595,0.8258925615564651,0.46187838692060734,0.46947715987426986,1.121514097432171,0.04790488342128212,1.0432813432907195,0.8044609652888943,0.6510503015881886
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16779714822769165,0.05238537197868421,0.24837851961850155,-0.6733209038500138,-0.6490522426065695,-0.48741462099003663,0.511970866885612,0.639352487187148,0.031170870958397854,0.817698570661012,0.45955168166675436,0.4671338784350777,1.1039165789294174,0.03995042408672687,1.0225810441198462,0.7696850148921011,0.6640095237213475
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16295266151428223,-0.09273286720562565,0.2569861045764632,-0.6485187393543511,-0.5837166090927335,-0.43232427189709277,0.43994928252053345,0.5665674373483917,0.048971840276757626,0.8047874261419407,0.4769010170466928,0.44854102521032885,1.105447718249017,0.06845653906937083,1.0078303571180554,0.8031606846384937,0.5600656585203817
14000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.1612311154603958,0.21347972691661338,0.26255527900603637,-0.6728692308921193,-0.6842715488603471,-0.3254383063269034,0.5290425190453081,0.6153578374105099,0.04056333816071984,0.7993912689261194,0.4492047873720169,0.48372892229721975,1.10889490543887,0.06477426643648933,1.017156159338025,0.7967847338451198,0.5985804835170737
15000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16516754031181335,0.019188060297525948,0.27694982033523885,-0.5833074145607583,-0.6509084584178743,-0.40235092450129273,0.505689363015489,0.5795662389997505,0.043220672184434275,0.7689657352719003,0.46441278161879385,0.4603565826646049,1.070054494836471,0.068462437536885,1.0383274399530098,0.7643085875547507,0.5738700411684322
16000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.1620786041021347,-0.2123934058577115,0.2637036130377281,-0.5725896745215608,-0.58238055899417,-0.3700508243829434,0.5183241900582211,0.4815361031354581,0.03915133298417574,0.7382954066973045,0.4874991971662335,0.4452530671108871,1.1031108490772072,0.07967492807666489,1.0223831314112473,0.7798537552224947,0.5296930232459718
17000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16721807420253754,-0.28271531280712625,0.24597194865960897,-0.5622028872185729,-0.5999287467023876,-0.31451949669441853,0.4075869767538455,0.6646683587498396,0.040406604162696855,0.8003176671172485,0.4901504163765031,0.4478400391023413,1.0751236792978902,0.078722310570477,1.0742712893005872,0.7623057234362758,0.6158072330301876
18000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16751347482204437,-0.1807131016519898,0.2857523207805871,-0.6337032079245842,-0.6265574691424033,-0.3402281078821682,0.48661577848032006,0.6432932554776026,0.06286736389634935,0.7636401076436143,0.47511483856873366,0.4472081425576877,1.084558546136924,0.050365767014488486,1.0242847065382956,0.7529398649533968,0.6165751768248778
19000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.1665993630886078,-0.3162657334840083,0.24092661438985702,-0.48851310283830895,-0.6597471033364034,-0.5599474107278322,0.4823870727979777,0.6383435667824906,0.038331764749586945,0.8396742010383275,0.49512226997289266,0.43831094795820863,1.1012913635279302,0.04424709626992006,1.0302107467469939,0.8091141773353439,0.6759400232851872
20000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.16772118210792542,-0.19069836549027086,0.24643724625327576,-0.5356582981018061,-0.6214818540811581,-0.4958268402266346,0.48608743713319796,0.626335577747691,0.04120614178247633,0.8521729653018152,0.4831327718746445,0.44559621400426375,1.0954271642703732,0.048553450546177324,1.0288722328144682,0.7834964843921041,0.6537386733556607
