i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14983858168125153,-0.4496460645512993,0.2671643411582142,0.5688278488315013,0.04777657619041818,-0.04326173585304365,-0.5338264199007757,-0.36365796464915673,0.3853800178305464,0.38233435107578423,0.9118313077145463,0.8826350396513402,1.0172164743199255,0.5131827252126973,1.2330274896231816,0.7864573375097187,0.07784421288206766
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.1472167819738388,-0.39268273968744444,0.25657988485956545,0.36059606031911157,-0.26159590947482025,-0.04559201205477247,-0.5139672457414013,-0.18868962134660439,0.3083094513557997,0.3183337200883447,0.9140544602917087,0.8839571331838219,1.0128743750802365,0.5076004617651073,1.1878760421703958,0.8029180486349575,0.0756202634204533
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14493803679943085,-0.4944065648272393,0.3005123731287594,0.4685203597698583,-0.2728674421573224,-0.033152321489103125,-0.4277457581539055,-0.17050151516732703,0.32411834694560726,0.2814285818964127,0.9127769724389013,0.8784776541610815,1.027807430420882,0.5176378325145636,1.2083872456791573,0.7936217744069547,0.07739231370804774
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14414572715759277,-0.3326266121503659,0.24196280933114397,0.4709903900123498,-0.41774153164132527,-0.12452320782657698,-0.4373865643679647,-0.0486306805542144,0.2483840353002427,0.331789169345574,0.9108580188270473,0.8864436078031511,1.0184440968133148,0.45905252904883376,1.175848476140836,0.8209340986773246,0.09466202556719057
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.1437881588935852,-0.3620546673633296,0.27116500295899787,0.31751559351608355,-0.5046474834520294,-0.18832681542111976,-0.3674823354175552,0.02563175180566267,0.2032061879897704,0.37485076432367975,0.9147674522038818,0.885525578400663,1.0309622637759102,0.42467877607506205,1.1403390552573156,0.8450720603226188,0.10863720380748344
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.13649269938468933,-0.3585690441087359,0.2875928166994075,0.29516862698611,-0.5840749633822614,-0.1469271836925738,-0.4785303027169395,0.015452689137377672,0.20088849771057551,0.29887237369635894,0.9117772246306657,0.8842476812858134,1.0350649082170569,0.4483284272473207,1.1578412320692948,0.8444606052811803,0.08212294189055819
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14047737419605255,-0.12883408651859604,0.249106934685956,0.2556500172812923,-0.5378293600080079,-0.19894282968664675,-0.31147473435064527,-0.005745765195729793,0.17928551187298966,0.3432349359237146,0.9032057903575476,0.8928884834042349,1.0248068542073587,0.4315899042320392,1.1234648269181458,0.8551299171042157,0.09196037320688853
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14237922430038452,-0.04812945076289208,0.288521265657815,0.1439669006081042,-0.4985260716414953,-0.09842637309604495,-0.10044721460092287,0.05021777158434164,0.24860126576757985,0.35309014163452523,0.8987326461543175,0.893571779525039,1.046192436527115,0.43830832272383513,1.1967217204868301,0.8197034021609746,0.09828269925281781
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14718152582645416,0.05475867586094023,0.23912348715268883,0.3535694636690031,-0.4933917495792809,-0.2808166570212489,-0.20878323769467144,0.08867541999466919,0.17598783674681784,0.47396752388287133,0.8957158899336835,0.9013899157849936,1.0499794937439924,0.36439789105300835,1.1095507152777992,0.825513730694307,0.14653415937169878
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.1447288990020752,0.001388560250993942,0.24536591009733952,0.4425509733418217,-0.5396050680410609,-0.1570768233093552,-0.23107434572813476,0.11913367888868552,0.23223803561676898,0.38412387843999035,0.8982922637881651,0.8977656868708889,1.0419271385987203,0.4313049328340275,1.1850320230210154,0.821450948786755,0.122366258687292
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14200156927108765,-0.09646089318140005,0.26626989244482885,0.4862328069989257,-0.5921383048882104,0.028648710942830356,-0.38465033845623015,0.08845963681508512,0.33566152160920676,0.24468223435008896,0.9011713325188566,0.8940587273899303,1.0188410387665725,0.5492436713998015,1.2288394039877983,0.7812751147546756,0.10940091141386452
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14031709730625153,0.17571596655213814,0.22004974409819042,0.35572652462677,-0.5779737381495388,-0.02835902669491744,-0.41298894751632326,0.09783440066869781,0.28360083731339064,0.2699141158149096,0.8933864298477004,0.9065604445877093,1.0252880581120356,0.5165996261505041,1.2481328752657095,0.791748241542121,0.09646499338790415
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.1368834674358368,0.21380793314659677,0.23290868143315788,0.14467166099885656,-0.532903261725149,-0.011718886346008147,-0.24907061969636118,-0.013583335378743715,0.27490074145607535,0.2558693614286129,0.8917720640264419,0.9093340842386525,1.0363011258789447,0.5157637547604893,1.2178485535690793,0.7839502613875602,0.08027282138559066
14000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.13471274077892303,0.37931232353304833,0.22454968161775235,0.11401429098551374,-0.5824704541158782,-0.017789522589243646,-0.11700483822589865,0.0411059130865699,0.2491964651444263,0.2681046401454904,0.88550524623979,0.9171103037426139,1.043893617306602,0.49386750366650484,1.2301772144359955,0.8187456365120245,0.07998484059369204
15000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.13144171237945557,0.53225613957808,0.2550721387022521,-0.06439965812046503,-0.5453255472140295,0.1417131220148921,-0.11266752773246004,0.03402488297666516,0.38917740096676096,0.18443233822412952,0.8797623530607777,0.9193202868971277,1.0706766147363183,0.6053186291949423,1.3496230361822945,0.7685605491231146,0.11493079331589372
