i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.362007300416563,1,10,1,0.5,0.13491715490818024,-0.4592849464025626,0.297013333003962,-0.5534460641277881,-0.38808622103420276,0.3847284355645602,-0.47386764814762644,0.3192753908212996,0.70646120058827,0.08752112419232452,0.7172096771211202,0.65069055635622,1.0053737253932356,0.836068478231587,1.3684714351382572,0.745202153154682,0.37342339351571724
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.362007300416563,1,10,1,0.5,0.14167305827140808,-0.5328491416732347,0.237947086495433,-0.4238321832280166,-0.4954453473278648,-0.059382473551779565,-0.24570209127589313,0.19802135091617762,0.29202502327371305,0.26056112707030643,0.7450450322548622,0.6520347452138001,1.0153252846026277,0.5435635557058809,1.2296375346134378,0.7885564961387068,0.10937248546179767
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.362007300416563,1,10,1,0.5,0.14133627712726593,-0.3726234215042643,0.23342415135745928,-0.47440716307669584,-0.48767114489627383,-0.05570226908961499,-0.1872226270051012,0.07006607785169533,0.27920481955685106,0.2781352445723962,0.7282494432265149,0.667488083084295,1.0307337163078327,0.5199540108333768,1.2179329616143368,0.7964244913964051,0.07541490322873398
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.362007300416563,1,10,1,0.5,0.14536480605602264,-0.3457739291831201,0.2496212696315514,-0.4284742076168665,-0.48989562709838586,-0.3101716776486095,-0.21229629933931576,0.1451970072943455,0.1590481960952988,0.45886928938037613,0.715063430233889,0.6633493477962294,1.047759607535345,0.35994304866157634,1.083661003280927,0.8357829230938917,0.14543252195997797
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.362007300416563,1,10,1,0.5,0.14869841933250427,-0.47257788866411454,0.2713346610365929,-0.4023347290437233,-0.5342427450538173,-0.300781509963079,-0.2272206582114678,0.40290663974343144,0.16479351159658617,0.4550074802459122,0.7277193970249506,0.6452151159492756,1.0319629348009474,0.3426831513642752,1.0970685365333097,0.8141415499596321,0.1842066628539149
