i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.1409384310245514,-0.544907438509236,0.2463919382747361,0.4403435247859005,-0.4576659549052536,0.1632712414833317,0.10638774513812521,-0.01824916097841263,0.33943544746958204,0.23116676151342563,0.3394021504248574,0.26505303847995926,1.01673883773024,0.5112042244383809,1.2983597388239083,0.7377844331288149,0.09713886321410424
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.15103475749492645,-0.39155510667023646,0.20352877681621706,0.5276733982320508,-0.5146863162279905,-0.23446466104661992,0.26145402068143214,0.04688353914016143,0.11777145194120026,0.5856507952077684,0.33937654106344795,0.28044501920853365,1.0596219289901267,0.24695595874574644,1.0802636145122972,0.8421467816500725,0.2701366079456963
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.15040846168994904,-0.3775570811465825,0.2720306021164024,0.34031868122037434,-0.45086370011057963,0.009337733605459028,0.2840730345455772,-0.00753890955941762,0.2040956533450098,0.4176771036855483,0.32351095063295515,0.26811698293723163,1.0412774887050544,0.3294903252443773,1.1647166422005844,0.7560643114084523,0.19332386137592605
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.16555117070674896,-0.21217081809956156,0.22558026818671728,0.2742438814975392,-0.4263005941180454,-0.1270052109578028,0.5348899354434936,0.16295222871794562,0.12584253500998274,0.711270317267218,0.30412250926935763,0.2813305541776182,1.0547708856993714,0.17093057357168112,1.100834385472211,0.7841049744097348,0.4035262579335249
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.1629818230867386,-0.2178744586252145,0.22894002712312106,0.16139408713660822,-0.5001008081949072,-0.15870814210606618,0.612952807498272,0.15058295070235653,0.09820496785599953,0.7135721040850487,0.3201340660798831,0.28156412010785603,1.0705632624202066,0.1381110969339707,1.086386805341954,0.7700925397519317,0.4563790549714634
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.15756402909755707,-0.28593776491873313,0.2727362890957559,0.027699915460728884,-0.6129248203393359,-0.13579507760804774,0.4960263098311113,0.17566222296380776,0.09159304080282506,0.6262694457526102,0.31240207406941195,0.2790536100412639,1.0840593123697708,0.13761796229948056,1.0793557890176688,0.7934316667856682,0.39331944398718643
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.15699505805969238,-0.2787855903985305,0.2361946100636151,-0.1704969190175921,-0.5050357230451238,-0.02207867975255752,0.5113872818126957,0.1825496091188603,0.13358165523474422,0.5749126162559574,0.3254057960623928,0.2769475082242712,1.0707884699048646,0.18888949110275136,1.1559348313377174,0.7759519457683903,0.36192338940673624
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.1585986614227295,-0.22343342774854547,0.2451425992361801,-0.21319982098465454,-0.5861357625409803,-0.1116732822504896,0.5369539546635467,0.2551634887095465,0.09265413665861999,0.6387443149979936,0.3100613419704097,0.2780423172642632,1.072032209206924,0.1343753918955764,1.107630922628581,0.7708110065523633,0.42366230934201476
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.1543663740158081,-0.4547133692160569,0.24183434987819213,-0.15452571724870345,-0.5235334576238589,-0.13351790110549344,0.32261187152156523,0.18574989971292177,0.13486978207437864,0.558783019179914,0.3310356046403075,0.26498089829563726,1.0661601402583976,0.2167330762244617,1.1039214051657835,0.7939341285665809,0.2976233380739478
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.16522373259067535,-0.41479126413640177,0.22826536831267455,-0.21472779360185182,-0.6062801635253176,-0.25234435246779574,0.47552324015086833,0.3523281771269158,0.07092577502647827,0.7528750687527979,0.3304498981864338,0.2741531294826005,1.0601176558606868,0.11752114787687955,1.0441209141378283,0.7828822992020739,0.48563003248996284
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.16846147179603577,-0.507325633924832,0.21444949551419235,-0.17375802075760322,-0.5752507406429151,-0.2834113186891077,0.5028787703523424,0.4234674790987943,0.052246817267354737,0.7978620732282603,0.3654078731211331,0.2645700412806577,1.066521974436433,0.09662154585349819,1.0556591564026572,0.7770358533942623,0.5460300518456276
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.16816432774066925,-0.5971301684771246,0.25650386576632417,-0.21312949874793483,-0.5577183883737626,-0.29427081792634396,0.5744247519538972,0.4593791081417241,0.051929598666291696,0.8229429821736965,0.34373070082656054,0.2617459003982797,1.0760987731604497,0.07503279258379236,1.063250489082296,0.787933785882602,0.5935786571605816
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.1565447896718979,-0.5612366152924401,0.2602055892452506,-0.3165982431670355,-0.586069391930754,-0.2906616016137613,0.32190788694010414,0.3234149433732524,0.07313398520743813,0.653488408965184,0.3393538849723488,0.2623554201134314,1.0818633445977814,0.1462524040311563,1.054935069138988,0.7986537084791872,0.40187458281661315
14000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.16035260260105133,-0.4998355673294947,0.2650815981068992,-0.36078685386847215,-0.6058181373702992,-0.23869409429421062,0.4499061706414211,0.3903651132786202,0.0779882876302542,0.7262650274453709,0.33022827880104083,0.2647956630289172,1.0938977067755686,0.10821748389515741,1.0629094541143116,0.78489700648181,0.4814580304621455
15000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.16220948100090027,-0.5924084246156249,0.2684878458046922,-0.6001126857084291,-0.7008648882916545,-0.29590259018206416,0.48380194186161857,0.5833856238016337,0.03806687752677814,0.8665410120727864,0.34397524680069763,0.2589194638860312,1.117429333391389,0.056685108054262086,1.0656642723714507,0.799231228227495,0.6109191729234995
