i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,7.707639336275098,1,10,1,0.5,0.14114832878112793,-0.4389619130917076,0.23519200866010803,0.352431419739531,-0.6089537104992235,0.10740639628919989,-0.47908885286041575,0.1232008348362446,0.360109066638099,0.21672761172412172,0.9611626157971709,0.9432340144514567,1.0129135986174376,0.5870733915836392,1.2577561854434578,0.7745216403767674,0.12077258525675459
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,7.707639336275098,1,10,1,0.5,0.1372746229171753,-0.3935797678377169,0.23008522272979912,0.45019804285204545,-0.5510284798163987,0.025741994881954503,-0.5395114724657509,0.03963435396782157,0.29582185915597803,0.24069622280857542,0.9611938266186392,0.9449823058248729,1.0340329265505843,0.5259600477781347,1.2734521977201323,0.7869195407878465,0.08804234811812874
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,7.707639336275098,1,10,1,0.5,0.14791753888130188,-0.576305161434515,0.22219448984831575,0.33603185360101867,-0.5172342124759417,-0.10660213968842781,-0.3407363428792917,0.10325846173370641,0.24390671093236438,0.3717432637275094,0.962290033712513,0.9403847700965439,1.0161647261264364,0.4519320734558381,1.1723371258318278,0.8061418437385336,0.10813506656058922
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,7.707639336275098,1,10,1,0.5,0.1371673196554184,-0.4412118969841141,0.29193833725559737,0.15994909901622167,-0.6424139896192624,-0.1957623114776343,-0.44756945412457266,0.07380785285556901,0.16134698493301705,0.33520062659737143,0.9589439431286436,0.9420235985770115,1.0427752041022955,0.3979363288295505,1.1093973128520183,0.8407373892261844,0.10815846820908588
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,7.707639336275098,1,10,1,0.5,0.1433190256357193,-0.46886098292298717,0.27244024116626925,-0.025391575020701808,-0.5908370984611471,-0.1923112064535204,-0.39585626201020885,0.12317592692967738,0.1748876420450306,0.36364342531847965,0.9578656368494859,0.9422056154859626,1.0197170733207928,0.3983371159838891,1.1130903646145285,0.819625717231649,0.11843340402371852
