i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.15148910880088806,-0.448374870164255,0.2357293742207543,0.587793619341361,-0.14161795748111816,0.00021604618272899384,0.5811366376936193,-0.23179602762497403,0.2472554694411543,0.465450786275098,0.7479305414131908,0.6804615816308363,1.0224349754634212,0.4019615998111712,1.1596905440822456,0.798194226268228,0.13480444848125936
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.14952965080738068,-0.3869876917552502,0.29389479806506275,0.37481500173849797,-0.3048716636523669,0.0754230624789441,0.4536195135739167,-0.08963275012880681,0.2885485820384046,0.3793431015504293,0.7365682262816516,0.684247393707656,1.033520809652792,0.4408426325151917,1.2001418423664478,0.7758784397426405,0.10743319216109515
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.1481563299894333,-0.43428446685248817,0.25455988697475873,0.3280057108325162,-0.3756587835511597,-0.05310444073340987,0.549598217891465,-0.08531806187530684,0.20635333452972252,0.43367421163648656,0.7512826642143174,0.6838159758455351,1.0431640977854337,0.37822794287510725,1.1458883078347677,0.8115597311159779,0.13899545566915983
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.15075840055942535,-0.20992469682096265,0.2538741104455995,0.43348724989773507,-0.42233715904902236,-0.06080834964779518,0.4100230220789877,0.06602601967155787,0.2217007307172544,0.4490091549053681,0.7314102834814039,0.7017355203334372,1.0398235555809245,0.38560735117703326,1.1496547723978996,0.7863973561812024,0.15680969805902514
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.14740313589572906,-0.17432241771354992,0.22697825923413453,0.31598517532953624,-0.5249812106616567,0.012090215558539636,0.564672964155396,0.10225181268246644,0.21755529956810346,0.3968566320406191,0.7360607818769627,0.7008201738355606,1.0585773897525625,0.3690909840079737,1.1963187026695878,0.7961898438355484,0.16758977563317523
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.14338651299476624,-0.13877147721256433,0.2529528247702454,0.3257197225540002,-0.6217101524067851,-0.04649985626514134,0.5855163025654849,0.11096760012652213,0.16428011398789777,0.4189113233124584,0.7204102061846407,0.7078312907749751,1.0537803846806602,0.3215456893618568,1.1459621057693534,0.8203406936280045,0.18214044172508573
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.1432158499956131,-0.05755407220853505,0.2666360447980909,0.2926595998884637,-0.6455126636603499,-0.07460019633999423,0.3722913491341271,0.18884023981581444,0.17793617313352514,0.41162183391609075,0.7181117246030921,0.7063972943825997,1.0510345822706952,0.3697976695134659,1.1712982419280182,0.8314592081890756,0.1587111852188804
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.14974552392959595,-0.059233569428805595,0.25626266528657027,0.3516608094768691,-0.5892529339854392,-0.14435289669313017,0.39220303636604137,0.21456178112952012,0.17304895041163101,0.4870141884317519,0.7155988899543292,0.7170013962861196,1.0676699311431261,0.3068269449635528,1.1387104951896034,0.8129658402333951,0.21671014907273864
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.1468285471200943,0.04433559200250719,0.2480636555980998,0.20891527795917225,-0.5472487196976704,-0.04845002444355027,0.5357061820893078,0.1166387643953703,0.17840401075040313,0.4206761059777699,0.7127479318731074,0.7281188043576978,1.0393184987283288,0.34888761104537264,1.1603284197614063,0.8173888411216386,0.16272430210267763
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.14513294398784637,0.13491621546516558,0.2668371163435711,0.31012136482981056,-0.49151619013169756,-0.0036217315493634215,0.4591956577177613,0.03556693699422605,0.20579095490741944,0.36537001778382916,0.7006958894378031,0.7291329295992973,1.0286612342008716,0.3939517295086468,1.17202869428893,0.7995866710241465,0.1312620554634947
