i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.391889887937236,1,10,1,0.5,0.13856221735477448,-0.1575744837824313,0.24914746671690385,0.08381327552998183,-0.5284603496251129,0.2556611572500463,-0.4906032990896737,0.11778823358018843,0.4800596064654903,0.15521406356980058,0.9686154202276679,0.9643661744453043,1.0221818889756364,0.6569515286217492,1.3206381366386253,0.7622777897511201,0.16688260297187696
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.391889887937236,1,10,1,0.5,0.14195609092712402,0.005385903969978657,0.22116780528899513,0.10088404871316642,-0.43216128722548924,0.05580204132952626,-0.38376380612379446,-0.024071638901206283,0.3332182475712275,0.25185840249436203,0.9659775864830492,0.967231748076133,1.0231395093920501,0.5350093500604224,1.2587784716028363,0.7848181913030592,0.07778440533744563
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.391889887937236,1,10,1,0.5,0.13692377507686615,-0.08689111930755561,0.258004205181328,0.17261226882806044,-0.5477110535166512,0.08667932128085788,-0.2053995630912501,0.08870715174304139,0.3442346892320123,0.23087756627857037,0.9683882530340352,0.9646264630123398,1.0514265847439341,0.5617550208652798,1.3033044390347983,0.7896064766598938,0.10285109662066344
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.391889887937236,1,10,1,0.5,0.14254339039325714,-0.1077172182163178,0.23489532883213154,0.1350687980308116,-0.48440605965630024,0.015499822621072771,-0.18735176040692447,0.009847720985035781,0.2902970236627965,0.2686338566307483,0.9674546382254609,0.9647131839380269,1.018821356326767,0.5122865538544668,1.2239768005126985,0.7689178330027602,0.0794062410397396
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.391889887937236,1,10,1,0.5,0.14113442599773407,-0.02109764967904504,0.2466501301840691,0.2144082436847784,-0.5888461390248207,-0.06378767817885439,-0.32164681840063725,0.1355737769547075,0.2492952230562038,0.3114977204674141,0.9658165382572497,0.9669472493326541,1.0363202026745497,0.47424761526479786,1.1975617564320036,0.8162845864466234,0.09547507297087292
