i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14013062417507172,-0.45131362701095357,0.2685016856771745,0.4984027676967618,-0.3701405117959847,0.13748704359751432,-0.4353927964979133,-0.08001897625550532,0.40292232776091563,0.18888036340013506,0.885797094019289,0.8460568613826651,1.025635294982346,0.5944178849323083,1.2866851183771288,0.7626983150379228,0.11551782845171112
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14881187677383423,-0.29501993814006583,0.26020289872213853,0.41452159568838093,-0.3557331942970369,-0.08661257951294675,-0.25071884058765037,-0.03260001703112819,0.2915792954267327,0.35919539582687315,0.8797313719396,0.8531670852678819,1.0149772252665903,0.48236825266346106,1.187579985834127,0.7895611144072617,0.09314043606067444
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14975841343402863,-0.3532519378928828,0.21560638315406488,0.4831154849799901,-0.498866622816675,-0.23629480784732923,0.016161100646130914,0.09484877312235776,0.18669320150338964,0.4729640700549205,0.8865553280085495,0.8543075776060507,1.0401327833616278,0.37232148378639296,1.1194668154637635,0.8184691832513825,0.15489706226627475
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.144330233335495,-0.4062633729400008,0.23869402090694597,0.44588548205368,-0.5485204377231019,-0.14080306839548273,-0.11776993247398851,0.09421416674571163,0.21599693857723162,0.37235148632079346,0.8912074262261273,0.8483525335103299,1.0473633915172762,0.4278619023589394,1.161223668959489,0.8192770155178993,0.12189085321760366
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14383503794670105,-0.5095100592876904,0.27032891976535595,0.24941472513865764,-0.5730377837044595,-0.10727393148120841,0.14921167168330543,0.07677560679993721,0.21472106949463673,0.35654297730881696,0.8915876780262723,0.8418207964757656,1.0271784639049983,0.42613845904358977,1.1386576854167072,0.8263603731083152,0.10779291345931083
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14626409113407135,-0.45627778914329,0.24288069807398535,0.26178335141917125,-0.547568643669763,-0.04930559676842632,0.29552068968453904,0.13193708914964802,0.2387556835721369,0.36233746381019,0.8939770201485433,0.8439121672509834,1.0265932309540369,0.4298088057752882,1.1843074162439917,0.8081303660485935,0.10832635048538126
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14889909327030182,-0.3335532964456916,0.25100961918630044,0.3601749226105254,-0.585435143877385,-0.13514848397409623,0.23841279333313406,0.1606867927879079,0.1965012784122609,0.4012471066687744,0.8842249291334996,0.8540093088792348,1.0159178927674788,0.4016061730474877,1.1256989592409736,0.8091829329232737,0.1308691612168654
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14271698892116547,-0.37517249421939347,0.23950852220343213,0.44865788629953623,-0.5297358419706472,-0.08032812943000162,0.356123728644527,0.043911498620328566,0.22914971364077344,0.3613241785017223,0.8899774493983356,0.8482472048334488,1.041393501822892,0.43712532147343286,1.1701811341130282,0.8297220623489171,0.10813651242983464
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14282064139842987,-0.0629546649113784,0.23184789534283487,0.5262242151482257,-0.5921567811689236,-0.044261469862854765,0.3628102703135043,0.09384885664650447,0.22532989940909862,0.32660081344392594,0.8708591429593067,0.8644021953309484,1.0180790051612787,0.44619887159318344,1.1877134739358155,0.812146283098805,0.10985902939010823
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14076022803783417,-0.0568873890308257,0.25080794346586033,0.4066499877955127,-0.44397332771943887,-0.045748585197228686,0.5183467579933898,-0.09561917716930461,0.21077609099438946,0.3266835472314546,0.8689263510346145,0.8632344061221746,1.0355414971099004,0.4409034243853893,1.15931495916807,0.8076367634959201,0.09178267546392929
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14230956137180328,0.01770120429119991,0.25334439773684275,0.08688664509176278,-0.5471611881968355,0.043653346446154595,0.4527483279325575,0.11746268195466246,0.28089191097559013,0.29249322154317625,0.8662705788310429,0.8720814510762043,1.022657015206359,0.49107120211466193,1.2207735112848794,0.8186006704915569,0.08742712954447786
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.14033766090869904,-0.028084050839090314,0.28462247193951373,-0.09034006636212892,-0.6172729585739549,0.053702509493894005,0.522443163236924,0.15160419059186206,0.24618165873896405,0.2710414229452735,0.8635252214707895,0.8657059475385585,1.0191995813882682,0.4757961435760933,1.2130793295925406,0.7825554496375875,0.08800889212583272
