i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.86087212946163,1,10,1,0.5,0.15527907013893127,-0.5143258998932745,0.2456103709336956,-0.6800299234803362,-0.6963331517892013,-0.45595420957015403,-0.4501065134819824,0.7231351133129877,0.059312290987577135,0.6698522233923843,0.9109368195755297,0.8677991260175242,1.1093848594838986,0.11123494713374686,1.044327246879995,0.7886561059317865,0.49119398236384654
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.86087212946163,1,10,1,0.5,0.1572672724723816,-0.5123840170957749,0.28153911937819065,-0.6403494585796239,-0.6878267872288407,-0.6301493200015263,-0.3338507592335748,0.650617188434257,0.03115663993200137,0.7492233171506943,0.9089401965445935,0.867872374411403,1.107558414142956,0.08975281110520608,1.0140112163585688,0.8145950441960946,0.5056312126675226
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.86087212946163,1,10,1,0.5,0.15837515890598297,-0.5404720744349485,0.20206985999694807,-0.712115167815579,-0.6812904549857822,-0.605240193550404,-0.16697623654325602,0.6611616200333019,0.048790806405100286,0.7583452627832167,0.9170861157321959,0.8711795098195166,1.0890428477823002,0.08686640783979382,0.9803385870714149,0.7887300896074253,0.49556820276618874
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.86087212946163,1,10,1,0.5,0.15746010839939117,-0.5703498704932162,0.2622374756874981,-0.6264471067471855,-0.6988161068869531,-0.6077099435713462,-0.26491828326707856,0.656544672985035,0.034659452945533555,0.7338114515968014,0.9107360875700099,0.8668687107899256,1.0950401644538323,0.08554625769362169,0.9912018259935841,0.8011631071404325,0.5035617597876801
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.86087212946163,1,10,1,0.5,0.15690331161022186,-0.42577070816043505,0.28738294738071496,-0.6360796139493102,-0.6697855822069415,-0.5241417868258665,-0.11556507013778247,0.6594814051405314,0.047165115918139634,0.7216817857395043,0.9041280459356934,0.8723058067918662,1.0985740170220144,0.09838860029469171,0.9938736367866355,0.7959913470742346,0.4675835142098122
