i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.412677259584898,1,10,1,0.5,0.14992302656173706,-0.342423097094936,0.23131317357104889,0.48800489745201964,-0.5500425619383202,-0.45460909517688847,-0.4399936849842965,0.12899415679047013,0.12849962546316984,0.5691370557371875,0.8385048263898801,0.7887114857063154,1.0498027983886857,0.31199915158947183,1.0229037887404313,0.8312961565148118,0.19761826003766667
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.412677259584898,1,10,1,0.5,0.14941339194774628,-0.4465594503260503,0.24876408299279784,0.4069905625268992,-0.6238762041669933,-0.5072959958064703,-0.5376864883628419,0.22399514040387059,0.1269419228372741,0.5684617593688642,0.8386063878660589,0.7834937061613813,1.045783269070668,0.28942419061217484,1.0532954528490592,0.8392221538900559,0.2231571306811988
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.412677259584898,1,10,1,0.5,0.15462949872016907,-0.5310382604155097,0.20909440662168682,0.27632685303314625,-0.6355845518031663,-0.47568204119645696,-0.5894357721302101,0.3680779285458533,0.13555203688289208,0.5871001624754115,0.8550015283542043,0.7834889641987673,1.0480395450749467,0.2980571072186706,1.0716689771223775,0.8222034457966172,0.24886537711538878
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.412677259584898,1,10,1,0.5,0.15240544080734253,-0.600483319867742,0.2540609753795792,-0.007936396262726481,-0.6838587870753874,-0.5552504691552788,-0.4773013055318123,0.4070397092171364,0.08516993188313793,0.6245924760494184,0.8406967494281354,0.7751444795541881,1.0594149734133116,0.22435945630038473,1.0139147967485527,0.8530897963921364,0.3062943283246944
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.412677259584898,1,10,1,0.5,0.1548718959093094,-0.5808534503612476,0.21754904704659908,-0.1203127499614224,-0.6272842387068175,-0.47415937225946075,-0.3241937981206904,0.4618934134932164,0.09690021470108783,0.6061064149557803,0.8526717063804412,0.7780821873796602,1.0643370938271286,0.22264445414412395,1.0448830650028411,0.811649193694709,0.30427735292877006
