i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.1336570829153061,0.41213380089748847,0.22208377652631472,-0.33344803137724305,-0.5573185234856817,0.1429929004675199,-0.18071197465890393,0.17313388959384696,0.44768248827496504,0.1566040720997645,0.40065982133523226,0.4774970667737178,1.0373967285446826,0.6903278453855741,1.3303372534319597,0.7872490764445731,0.18493543562668624
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.14219094812870026,0.5671929894465251,0.24930547513844728,-0.1925894854098948,-0.5397961263518701,0.0938000433771026,0.25710896180442827,0.10920692229393661,0.24358382168909912,0.29243975020844015,0.3910118839940098,0.4925674566270674,1.035445927109621,0.39980705357348634,1.2414342817551483,0.7872480923863522,0.1242986416450695
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.14247630536556244,0.5751582636138839,0.24401359879340526,-0.3665008781672116,-0.5227677369605537,0.03389031024680237,0.1802019873963104,0.18415052431784348,0.23752906980121255,0.33570385725613,0.38592351896329585,0.4915203505181543,1.0404015513010803,0.40111851262711157,1.2263012880072894,0.8012159637392763,0.13009440718530146
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.1434585601091385,0.6207135408171925,0.25946835189357975,-0.3130152880022209,-0.6291702121043599,-0.1058271920940881,0.22690338244064998,0.27616301572873786,0.1432571170937825,0.41454425918587595,0.38740497918638683,0.4988594343080364,1.0566165840009913,0.2739879419866444,1.137048841425779,0.7928987389240144,0.2092589043175886
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.15192899107933044,0.5944873160520686,0.25919405269576334,-0.309669285874979,-0.6372846731533305,-0.24050372997429378,0.3467938170930221,0.3561414273535133,0.08584664787721724,0.572607763984581,0.38514561975340744,0.4804667837602057,1.0839809703762473,0.15393120100038504,1.0665354514156722,0.7971399155733527,0.35078646581639633
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.15636372566223145,0.44305779982481647,0.27943323878909065,-0.2958451391684358,-0.6493234621037017,-0.12276962550947976,0.48295736332416644,0.44809937568627867,0.08687373552720291,0.6190248730655808,0.38970557369479514,0.47366014945141877,1.0949588520412363,0.13606263981482425,1.1219483203950213,0.7841835901159896,0.42868560741674117
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.15777234733104706,0.36132109605876384,0.3011914478316142,-0.6457958689557747,-0.6589972271586756,-0.2442772839694961,0.49826751057033986,0.5183754138332003,0.050139204193464536,0.737431017856007,0.3942645544528053,0.454053783502842,1.0997830269035234,0.09213742602077556,1.0483217093334927,0.7953599233158162,0.5181162905085561
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.16114893555641174,-0.030072587413205266,0.25294101148051024,-0.6118753248669558,-0.644951447823786,-0.1751181716458253,0.5411647625245005,0.5523450861687488,0.06823013327411347,0.6856222362208341,0.4384600940113037,0.425555299818666,1.078254797870432,0.09414194517597221,1.066055694821537,0.766742948700272,0.5120043500969814
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.16195306181907654,-0.08303792388616991,0.267543018434386,-0.6208589759331637,-0.5804634899667395,-0.30450640898944603,0.48765490153176866,0.5129306791983538,0.05703313494655025,0.75261270188898,0.4328332586363042,0.4139303742577828,1.0840611227445334,0.08789933924998125,1.016699044056542,0.7856966217806363,0.5027628896086223
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.16052019596099854,-0.07494206211427415,0.2509200822900919,-0.622599452111569,-0.6848049245249938,-0.11862661336472405,0.5572703491218768,0.6316389312235594,0.07160935804159299,0.7468760823082827,0.43036461368128304,0.4176602861528842,1.093911275498231,0.07956768901165001,1.0786693422689602,0.7785454389041966,0.5398001515885483
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.1611076444387436,-0.19680188010104255,0.2524996046047874,-0.6323337896002071,-0.6399161339944468,-0.2771453321048216,0.5423715010216187,0.5429221968616054,0.047814569347394024,0.7602302043320726,0.45657985573656157,0.40658398363203396,1.0964857503835124,0.08471956118872388,1.0403299089782112,0.7795487951931642,0.5406552452251558
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.16960912942886353,-0.46301721000709817,0.23154375845133837,-0.6674343777734639,-0.6857574953233547,-0.45164770433853113,0.5332622155957467,0.6978035387830932,0.038364639313358116,0.8553974085002921,0.48203796760623485,0.4018099877913103,1.0758609258090006,0.040314557369059305,1.034632166926521,0.7753274554011486,0.7015275123000128
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.15767405927181244,-0.37772490534127956,0.2395085093342738,-0.6511651136299021,-0.6524910802556758,-0.5324695691635312,0.37133403459788544,0.462882480792376,0.04858707547044978,0.8049908419314066,0.4726374171131496,0.4047840303117737,1.092849520141433,0.08600356282431382,0.9885990101197526,0.8231183363057174,0.49643604028599253
