i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.364429638874683,1,10,1,0.5,0.1375741809606552,-0.3587050448212531,0.2914370021182139,0.4618998010885833,-0.5560327505023337,0.19608140962836348,-0.517750534118136,0.0570364877141026,0.4274952537569631,0.1644473878230886,0.9393882125447924,0.9213976471031059,1.0114855755593817,0.6395210411379124,1.3033968319646323,0.745045848167586,0.13783353521879757
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.364429638874683,1,10,1,0.5,0.14101463556289673,-0.06706246342414793,0.24597726175191628,0.40773000363110884,-0.49798533316820964,0.0627489425407536,-0.5048061507144007,-0.012352901635467282,0.34157148505095614,0.2176573628719497,0.9327657352954564,0.9303991305814854,1.001562329305266,0.5693368451540813,1.26135439073405,0.7737942467962355,0.10232082454618904
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.364429638874683,1,10,1,0.5,0.13994431495666504,0.005282015715519678,0.238484890257865,0.2579841446748952,-0.5902412376084276,-0.19341628998797653,-0.49469179000644603,0.07564299120982204,0.18057205590656583,0.3785638199414068,0.9301879843970075,0.9327431887200185,1.0462216907697863,0.4084677159336112,1.1493361254890935,0.8172115672163319,0.11867883927902693
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.364429638874683,1,10,1,0.5,0.1416284739971161,0.20266342403026125,0.2260812947258349,0.29549776911820386,-0.4226684618463695,-0.021143977292307443,-0.4364381890310677,-0.06590916013860058,0.2995434320351254,0.2732257654656596,0.9248126128022858,0.9381364421773681,1.0168231441779816,0.5117053089813854,1.2268020814547176,0.7981840429132308,0.07844486125000436
