i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.7450485438703969,1,10,1,0.5,0.1669866144657135,-0.4004248381411146,0.2936172327243215,-0.5721288687398316,-0.618217428535029,-0.5410417996641128,0.31575629062109967,0.5799586168483853,0.037306707468877716,0.8408138328458372,0.31700059214310555,0.26533522387621855,1.0998570839106871,0.048837033883721466,1.0341922704696545,0.7826755448188878,0.6271005831910776
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.34220647774632,1,10,1,0.5,0.1393333524465561,0.4752351960439253,0.24670390560001906,0.3988309254906472,-0.5621885582174477,0.028648474322894055,0.2842801071761192,0.0654066002043688,0.2836380608549893,0.2692502919614093,0.9593875535590639,0.9734011032394334,1.0249208044618905,0.5091635239066398,1.2552262372917307,0.8269544382529916,0.08398488644620375
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,2.527718870681053,1,10,1,0.5,0.14455601572990417,0.3129552935131768,0.23165568066314854,-0.31228682479302244,-0.5309902009326722,0.1419373246059631,0.5836438187089199,0.2971735285241564,0.24738325631103986,0.31101047640713514,0.6934037118097114,0.7517548818585096,1.0259934137173332,0.4226558370932479,1.230882821633207,0.7818610955354501,0.1416288988660257
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.158514987020188,1,10,1,0.5,0.16497647762298584,-0.4916918307463515,0.23188860468138633,-0.4908182335652888,-0.6360858653299757,-0.4074762929644635,0.5357285262531288,0.49718783150399604,0.04958630127368225,0.8154945515744025,0.487356036039907,0.3956507444026226,1.0789763223356372,0.07619538119055437,0.9932871802006581,0.7928986934738724,0.5683162645264966
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,5.097461977646407,1,10,1,0.5,0.14135871827602386,0.4043849101090228,0.27229174838808534,0.051425078536786545,-0.5671302893555639,0.02806072992669729,0.19706296028847106,0.13257940145652586,0.28392408831147053,0.27215998963010923,0.8848774836749791,0.9101570900316434,1.0350262856912196,0.5041062575562871,1.2230725573703556,0.7870580097352657,0.0922257738223087
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.051569411353156,1,10,1,0.5,0.16053973138332367,-0.022746197473637177,0.26360165754147424,-0.5994758801236167,-0.6931835083230143,-0.5721539493605394,0.48299482192773713,0.678951273984072,0.03962508151610555,0.7887229192864464,0.924955832806492,0.9245579771605257,1.1155577043525593,0.06258582975036744,0.9966273655017229,0.7955657801879503,0.5721886196281121
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.16292238235473633,-0.33638164261184333,0.25268966268448073,-0.6306844430903136,-0.6858435845556988,-0.5439110362360443,0.47140166158698665,0.7196589436852997,0.04932132696567635,0.7924907107531508,0.9449705529174426,0.9283053552357113,1.1006611231425938,0.0722734881448475,1.0159816399498829,0.790125091619112,0.5690992994303039
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,1.281959191337667,1,10,1,0.5,0.17007476091384888,-0.19199634659077353,0.2509652917611841,-0.54253678369898,-0.6145898428071379,-0.4924664004304184,0.48480064432324116,0.6236836915647008,0.0467633065661212,0.813177451448109,0.48274395722216457,0.44426245092337535,1.0818175877541782,0.047921462348636874,1.0208503300539415,0.7649995059311052,0.648344110252138
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,4.330652373821496,1,10,1,0.5,0.13912050426006317,0.3906970554997378,0.2618955991421837,-0.6261474897801843,-0.6757744403844417,-0.16606096360427505,0.48194731393898455,0.531404531991151,0.1111808001568898,0.4243273482263197,0.8488512703345145,0.8848937170208946,1.0696292340577351,0.2819646133567834,1.1223183211890508,0.8241117085265277,0.2384654348493195
19999,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.17082123458385468,-0.32307538183104084,0.28336993251731346,-0.47004354381260416,-0.6222758801369295,-0.338947899398292,0.5160623229708601,0.5310676317825974,0.035020715151452345,0.8119365566507163,0.23331024616185328,0.20501709977837726,1.0556409789258094,0.04866630023176124,1.0369588096919333,0.7442202553889001,0.6249772847920863
