i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,8.34757910987563,1,10,1,0.5,0.15006743371486664,-0.388669667522519,0.25650301488689065,0.652465381886804,0.03008569324289123,-0.022183487973630726,-0.5035685636892915,-0.29582193164446496,0.39571171556776297,0.3919291379096225,0.9653229362385141,0.9502731838603484,1.0288181766798887,0.4993885794429802,1.2208328088848612,0.7901352766015842,0.08048076879944328
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,8.34757910987563,1,10,1,0.5,0.14203022420406342,-0.3409784470054731,0.2396189831805834,0.4497546528793513,-0.2051375668531997,0.006819201971926076,-0.28890952119604135,-0.2687380582233574,0.3313082923593463,0.27629619471683153,0.9658173615095871,0.9525485769588627,1.0205312115486536,0.5144483522705112,1.2585135896778155,0.8092314897585617,0.07534920932035236
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,8.34757910987563,1,10,1,0.5,0.14415396749973297,-0.0033423305118944454,0.2442921740029017,0.2968101978106257,-0.4333719163857369,0.0725403199106292,-0.3759325245508757,-0.04191655892529513,0.33646983763554617,0.23989388324720903,0.959108305880718,0.9582840737867465,1.0157272726708957,0.5483153442696556,1.2428977959980458,0.7655053629494096,0.0897443202230955
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,8.34757910987563,1,10,1,0.5,0.14385846257209778,-0.015174724462651243,0.2555295665543743,0.1670430216506326,-0.531544582392465,-0.1596143377773159,-0.40602061356401487,0.08334905622071755,0.21259896527220187,0.37625893316035586,0.9588750949619217,0.9578545794646762,1.039496434273579,0.41605701538419976,1.1621592846735824,0.817272432198021,0.10891604941729997
