i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.225864183283218,1,10,1,0.5,0.14351215958595276,0.5142352895782002,0.22384103027780286,0.4453453377906541,-0.12018607795985167,0.12907559019758527,0.5198960179118266,-0.2923074073413741,0.3400813050676417,0.29248132940049815,0.7632668616153937,0.8390754458034597,1.032823276851284,0.49863508537269474,1.2641978592023067,0.7616493338380068,0.07501585590455992
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.225864183283218,1,10,1,0.5,0.1433551013469696,0.6061608233044146,0.2615861737824901,0.4643253413483142,-0.2771147813538864,0.07847691331375649,0.3359811152549329,-0.116152624596012,0.3312271086144116,0.31314551077606223,0.7573127144655633,0.8394801176097821,1.0433231195311845,0.4900464691779289,1.2538221224601551,0.7997741933543929,0.08751095674292181
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.225864183283218,1,10,1,0.5,0.13712134957313538,0.6191047269700475,0.24107642872835452,0.5193899023130875,-0.4060279256354594,0.10977720832950816,0.2973084834557426,-0.0953082505770587,0.28153442662229905,0.23782386028406066,0.7554685757450126,0.8430575249959044,1.0362719687683066,0.5062722216287051,1.2765661342173027,0.7769533777512889,0.08773045789582139
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.225864183283218,1,10,1,0.5,0.13478675484657288,0.40452824152006506,0.2481240549810881,0.4178164381734764,-0.41178002423248705,0.026363223129672,0.45928258521319487,-0.1320144544117195,0.21540003107359595,0.29090895635924396,0.7653350303720378,0.823576725207068,1.0498497635475663,0.4575025753853223,1.2419741238202686,0.8125772340371326,0.08212305112951776
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,3.225864183283218,1,10,1,0.5,0.13941675424575806,0.5391773010806686,0.2409889393741686,0.42036003423200513,-0.5251640919164422,0.14996558110448518,0.43667139839288743,0.011053605929866477,0.3026664143717401,0.22929756262584747,0.7666953943365081,0.8359532818625948,1.0118861823621639,0.5336598662389656,1.2627139645386252,0.7613930537332176,0.08521932389124665
