i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.13072149455547333,-0.25055656269976684,0.24751671306524037,0.10417907831342091,-0.38685760227513655,0.3433528057882339,-0.4121319443055284,-0.09676182090756219,0.7127604186342301,0.07631155237624312,0.23604249547755354,0.20810018916169679,1.034390316393235,0.821285867622089,1.3973761907096445,0.7461882659819618,0.34105807114539144
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.14622469246387482,-0.2807957533276071,0.2411229872081582,0.07981170041211047,-0.3510443759501674,0.08099434273972272,0.1043988247755264,-0.11620403363484481,0.3199288397551346,0.31812239812448695,0.24185759129802942,0.21055904057286845,1.0237330495303296,0.4560450048611516,1.244603027976334,0.7847328694794105,0.08770770087573823
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.1578233689069748,-0.4857618920250533,0.22662718861731113,0.1304509374692847,-0.434888081581361,-0.023273412916450173,0.5104358606722267,-0.030658812636538538,0.15321127140937402,0.5566189253499996,0.26715386321645085,0.20389461983924045,1.050236100067366,0.2040917554143659,1.1368628501967097,0.7868324573608219,0.3122434400953644
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.1608271300792694,-0.41317741756489806,0.25099166697244024,0.15637491163097955,-0.443363468274132,-0.21273870504300993,0.48231882511609764,0.06302247743738634,0.10390274534382322,0.7123104282832053,0.24371343085696717,0.20701897621050888,1.0585141724407205,0.17162620659824734,1.0751914634402893,0.8016171330074202,0.3886837176140358
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.1636294573545456,-0.4279865911495553,0.2464486138906573,-0.00835115159135202,-0.5071184248757495,-0.09435833623512382,0.540082523201863,0.20897441419257304,0.10296304216852216,0.7029937637360799,0.2555186790257115,0.2028936147150843,1.0807236589220448,0.13733238678458276,1.1064547702962277,0.7865701935672579,0.4385295961537679
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.16404186189174652,-0.36471769107596314,0.25178639353614346,0.05990901367403067,-0.5253549532012665,0.010417845714126102,0.5657064701432952,0.26729733825772034,0.1066175075971517,0.667070541659174,0.25211697524408316,0.20582782821637682,1.0706064433058844,0.1429914545301361,1.1325666890294368,0.7636263999128139,0.4638898415792606
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.16044996678829193,-0.39368206386940974,0.22970291775138285,0.1842332857407513,-0.611642476053468,-0.050657211348623145,0.5468717049741797,0.21020643430722416,0.10569662285749509,0.6498411536564915,0.26030722926463873,0.20555178024357607,1.0765599168497952,0.15350374870818606,1.1116900472612063,0.7666744604809352,0.4134749650411279
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.16387364268302917,-0.41635418048642264,0.2586143991333717,0.3947940361282166,-0.5956375213041792,-0.14810542316634714,0.6040099560278115,0.12725453966235234,0.0790731716362783,0.6799696981091585,0.24714692040227831,0.20434171942400947,1.0608542233298526,0.132633065364868,1.0778804104569606,0.7790108498755461,0.4425165367391109
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.16541707515716553,-0.4381404755909693,0.2391354094988566,0.2724607746783106,-0.5151876954176567,-0.15614385270015357,0.607474124483212,0.09789706522772582,0.10039516939196329,0.71094939186169,0.24545201021867308,0.20722506982692382,1.0385573892406523,0.1444987548946317,1.0442678941531602,0.7774212624641846,0.4328173316686607
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,0.5543769468537877,1,10,1,0.5,0.15864524245262146,-0.4734265339960717,0.2638944478447573,0.24614216709823286,-0.6080372110724171,0.05970190324973329,0.5853064263172533,0.15543626307253963,0.12564124656690653,0.6068628574635581,0.2570769340916517,0.1998472491719959,1.082207006082964,0.15107230931108595,1.1504163819224056,0.7623664019163175,0.3928042363424916
