i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.024424685904718,1,10,1,0.5,0.1387026607990265,0.6113343042922119,0.24283162865463817,0.5196779236126462,-0.15229303043893952,0.1288590622961186,0.23427422258322378,-0.30851192854479503,0.3819876598207425,0.22715541012696153,0.9550491762614941,0.9726451563711317,1.0368744902560547,0.5512304353840127,1.290305089071153,0.7683508985895774,0.08043594830275866
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.024424685904718,1,10,1,0.5,0.14403341710567474,0.45379365098958924,0.23012906492414076,0.42405664048142067,-0.21137971911684528,0.08854273600981083,0.1565973964240085,-0.1977772909670418,0.37518870341187804,0.2614217758209427,0.9582198453830764,0.9714596016309069,1.0348660505033196,0.537948475843371,1.2667190906835142,0.7874251085636843,0.07718096596520735
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.024424685904718,1,10,1,0.5,0.1423722505569458,0.32728752302361525,0.2537539653099551,0.2931016907284469,-0.34484770615197374,0.10882989677757178,0.0576045719622257,-0.08492703951457936,0.3849395674774436,0.2539996640252671,0.9582269678352884,0.9685159757689858,1.023925924326946,0.5478857621818374,1.2765307518600353,0.7872960836479777,0.09195137225559362
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.024424685904718,1,10,1,0.5,0.14016121625900269,0.34164003936756304,0.21075527370119423,0.3537057740640992,-0.3256273479182801,0.09267964115785172,0.05920705710113003,-0.16074170942804925,0.35287920551082874,0.22757979009569287,0.9587701934517735,0.9714638317524822,1.022659507571595,0.5469735976917097,1.2819704559590668,0.7781375408750638,0.07699723134448858
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,9.024424685904718,1,10,1,0.5,0.14390982687473297,0.21045112635504776,0.24249320776124567,0.319777117156591,-0.3577315468165869,-0.035199512287802284,0.22919226085342784,-0.09839390314761451,0.280476468835682,0.32587865645135133,0.9608684062445124,0.9672817605605505,1.0339132631664296,0.4792985364748848,1.2052276461079554,0.7862678682734636,0.07820119176113506
