i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif
1000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.15105806291103363,-0.35632910157467484,0.30120996626129837,0.39143885879623097,-0.00020765513756144073,-0.0443688197683533,-0.548907702527545,-0.39137321767369837,0.3422631599950669,0.3943618283180831,0.9441959206012809,0.9262720746953153,1.0069636086638174,0.49511435000150555,1.1975023341616609,0.8051234057261212,0.06495372885148848
2000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14839638769626617,-0.10458222792167131,0.26779241305598384,0.5376910749846109,-0.1600686664617788,-0.13020213713579767,-0.5810510426484046,-0.2222498857385565,0.2752580341000531,0.3975243164260052,0.938462292295776,0.930337396621825,1.025455928416457,0.4632192933705986,1.1772999997541598,0.8131789455311966,0.09157556241565086
3000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.1486179679632187,-0.11847848782423531,0.2531981343973278,0.3937573152465062,-0.3482146189703796,-0.12419135113697348,-0.3907972530563206,0.004035726380704495,0.28438812332568814,0.3991964268751472,0.9398750895928845,0.9334254091406118,1.0434330516328711,0.44894074010300217,1.1907526238940913,0.8049541145861098,0.10299560755601088
4000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.1430465430021286,-0.0016508524829650679,0.24382221819487063,0.447464995911939,-0.4034339413269723,0.0026343217060176907,-0.4713143099281817,-0.049293576755368836,0.3034312508563875,0.2699601427012568,0.9372557669900232,0.9356975849630694,1.0181498452429076,0.5280808589917113,1.2234177612281254,0.7915732406852358,0.08816288161142002
5000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14554713666439056,-0.04560180323473727,0.24576109021859596,0.40482037706999435,-0.47949591210552256,-0.18395143810887507,-0.49538336194736643,0.024255740618337247,0.20438508110076356,0.3966401648708687,0.9373167842875333,0.9374669141808397,1.019992152660935,0.4204191095303338,1.137258679290461,0.8207509903410265,0.10842303257509214
6000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.13740438222885132,-0.04197740915817585,0.2363503566005515,0.2876447882534163,-0.5773229346871814,-0.04002493760693265,-0.46763360044997754,0.017599395814800238,0.25347175893624113,0.2584205527350718,0.9349903366033848,0.9364741488167871,1.015681948954463,0.49782235171352207,1.2200703673175262,0.8079257703967544,0.07823088225714832
7000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14610518515110016,-0.09271910715860128,0.25889760240147935,0.40708919275874694,-0.5991077505669423,-0.20815223195114324,-0.40439711536843337,0.1855779240620936,0.2086659347490741,0.4191735898854667,0.9401186108935661,0.9328803826654366,1.0504277002282232,0.3815141844122319,1.1650001408329755,0.8154834058530614,0.14530532151315034
8000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14707233011722565,0.0693539274745646,0.21893284410301977,0.3088264567276038,-0.4917621601582892,-0.05576409819629583,-0.46109067647097823,0.09778553724082527,0.2978091082301583,0.3154421314106555,0.9362245179120036,0.9378158148595689,1.0119056201280905,0.4933700581248591,1.208634404081295,0.787459080505722,0.09845745138039298
9000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14172878861427307,0.12225057497166132,0.2309418378813346,0.3274275127237112,-0.5612340359664845,-0.025886444600042708,-0.2528548533073967,0.05849940993154613,0.27659935258246876,0.27431206831787724,0.9330220520769879,0.9407422605804087,1.024818686798072,0.4981794318238949,1.20059082475255,0.7896974822003425,0.09011441990795709
10000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14392918348312378,-0.005942318117802431,0.26200346464013574,0.2181303972049241,-0.4528133735412751,0.04842177499708743,-0.15858048591205764,0.0006209579370533451,0.32470522958948256,0.26309067896160615,0.9361613263849832,0.935447111586229,1.020084483262757,0.5172587993634288,1.2559727017955231,0.788085683268411,0.09268013906964608
11000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.1408270001411438,0.09088358949668916,0.2493520512354654,0.0627881443401852,-0.5438131673600131,-0.013687835387593819,-0.05016127109550129,0.07479318063518386,0.27568160582138906,0.28101267388148127,0.9361805924879305,0.9399646428027552,1.0391126918428732,0.5014156994222437,1.2035963226219482,0.8005467516802854,0.08375150613091573
12000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.1416740119457245,0.26432792145942957,0.24046277128413768,-0.04973664336958697,-0.4784282605868702,-0.049519357020614385,-0.18272878083341693,0.003684071056575702,0.2732503565401661,0.3126528460708298,0.9318545772797846,0.9435728643569303,1.042929632168392,0.48233152801052326,1.194390041389359,0.8115201168197207,0.07380667539519788
13000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14113165438175201,0.19911518499218936,0.23896784569452925,-0.1502314798375825,-0.5396492181963519,-0.023677236768539552,-0.16560347441429848,0.16314147476128393,0.267243652391845,0.29856326678430334,0.9309404402492255,0.942647536189664,1.0410356842431023,0.4888811619789895,1.2201828855903971,0.7993286406580132,0.09305573144488782
14000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.139565572142601,0.20353070044966806,0.22631200838300808,-0.3874284559827648,-0.5405333889104942,0.028654296374752943,-0.01698145967773235,0.1841206126821227,0.27513918257297165,0.2474140144650045,0.9296331402053544,0.9423955471489124,1.0308921795213168,0.5151258079949489,1.228543636134057,0.7882262134483541,0.08402697484705746
15000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14035864174365997,0.47477012307454236,0.2466663888568935,-0.41958556111092454,-0.521857765302197,-0.04766956281064568,-0.017695990368879977,0.14709453674358708,0.2420621106517341,0.29343678435644,0.9230506168287852,0.946939375442877,1.0316515280508831,0.46762530095447663,1.2013449079560574,0.8040094335298041,0.08126226570801764
16000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14126993715763092,0.3197131983100171,0.2725010758524115,-0.37834504134014235,-0.5360752351766024,-0.21280143517549402,-0.07213460048929539,0.13852114599978801,0.16560771367393828,0.39485359459028685,0.9279355094166348,0.9435052458648115,1.054999046596809,0.3686028196586255,1.132824854783575,0.832433733029645,0.1288242792006063
17000,1000,1,0.95,0.9,0.4,0.25,0.25,0.2,0.2,1,6.629270989131998,1,10,1,0.5,0.14661642909049988,0.2640700831426234,0.22460808563351048,-0.28136629895865123,-0.5859279199059451,-0.24004890857633587,0.057033955348580745,0.32567281978859436,0.1468452325901395,0.44812234253945293,0.9286645901334484,0.9444773834782649,1.0384861286621228,0.323546563367321,1.1159103017536964,0.802994919396722,0.19543528954020184
